full_text,sentiment
"Если честно то это верхняя одежда для дворника, или для сантехника, с собакой погулять, и то не комильфо. На фото прилично смотрится. В реальности только длина хорошая.",negative
"Отличная куртка. Мой рост 170. Мой размер 44 - 46 , на мне S .Сидит хорошо. Внутренних карманов нет ( пришью). замок работает.брак пока не нашла.такое( завышенное )расположение пояса на любителя ...А так , всё хорошо , лёгкая, градусов - 15 думаю выдержит ( тоже у всех своё ощущение холода / тепла ).",positive
"Куртка не понравилась полностью. Материал самый дешёвый, некачественный, тонкий. Смотрится как с Аль экспресс рублей 300 ей цена. Куртка с утеплителем на половину от него до шва пустоты см 3-4 и так перед каждым. Совсем не симпатичная и пока из пакета вытаскивала током убило трижды😎😎 Брррррр. В нашем прекрасном городе Санкт-Петербурге в ней можно прогуляться в доль Невы летом ( кто в курсе какое лето в Питере 🤣🤣) Конечно же отказ. Не рекомендую.",negative
Не плохой. Синьепон расправился и стал очень пышным Вот только не пойму зачем брители для пояса делать под мышками под саму грудь. На фото пояс на месте,positive
"Купила для того чтобы носить, когда похудею. Померила на мой 52 и сейчас налезла, и довольно свободна, только подмышками немного сковывает. Так что к зиме, как раз будет впору. Спасибо огромное, за возможность одеваться дешево и красиво!",positive
"Не понятен мне пошив, рукава узкие, остальное оверсайз, ну да ладно куртка отличная по качеству, это теплый ,зимний, короткий пуховик, в нем отлично сделана горловина и капюшон, очень плотно прилегает на ветер и снег самое то. ТВОЕ ,как всегда, 🔥 , спасибо!!!!! Качество материала",positive
"Такое небрежное отношение к этому бренду,,,,мне очень нравится этот бренд, я еще сколько лет назад покупала вещи этого бренда и до сих пор они у меня в нормальном состоянии,,,советую 👍👍👍 Куртка мне очень понравилась, но пришла с браком,порезано было на спине,, Как можно отправить такой товар и пакет был весь порван,куртка наполовину торчала с пакета,🙄😳",negative
"Взяла две и черную и коричневую, куртка тёплая, но лёгкая, пошив идеальный, модель отличная, покупайте, не пожалеете, сейчас цена огонь",positive
"Куртка явно с отказа, этикетки-все срезаны. Привязана этикетка М"", но я не думаю, что это такой размер так, как не было другого, я её забрала, но будьте внимательней, когда вы отправляете. Товар.",neutral
"Еще и вешалка в комплекте:) быстрая доставка, отлично упакована была. Удобная, размер в размер, внутренний карман, широкая петелька для вешалки, флисовый воротник внутри, манжеты внутренние для рук.",positive
Отличный пуховик. При выборе ориентировалась на отзывы покупателей. Купила пуховик для дочки. Качество и модель супер. В морозы в нем было комфортно,positive
"Первые впечатления.прошита хорошо.наполнитель распределен ровно.до -15 комфортно (на эту температуру и брала).сидит аккуратно.ткань воду не пропускает (попала под сильный снегопад, ничего не промокла).капюшон глубокий,также глубокие карманы.очень порадовали карман потайной внутри и на рукаве.торчала одна нитка,но это не критично.упакована очень хорошо,в сумочку+вешалка).на сегодняшний день покупкой довольна.если что,позже дополню отзыв",positive
👌 Хорошая теплая куртка ) подошла по размеру идеально ! Немного не понравился материал куртки .. но мне нужно было срочно приобрести такую !,positive
"Явно не для минусовой погоды, около нуля я в нем мёрзну. Удобно носить, капюшон чуть глубокий, но терпимо, легкий После стирки сбился наполнитель, но в куртке все равно тепло😅",neutral
"Свой размер 40-42 , заказала 42 размер в черном цвете и 40 размер в коричневом, пришла за другим заказам чёрная пришла раньше времени и пришлось отказаться, хотела сравнить по размерам, на мой размер чуть свободна в плечах",positive
"Чудная курточка, размер 2XL отлично сел на мой 44-46, рукав реглан на плечах идеален, подмышками широковато, но это особенность оверсайза. Оставляю.",positive
Фасон и мех Цвет не тот и качество подкладки желает лучшего. Перед этим уже покупала такую и она намного лучше по качеству.,neutral
"Ооооочень долго ждала ..задержка почти месяц !!!упаковка (-ужас ,но ...мех-норм ,не линяет.куртка интересная ,она идёт в размер !!!!! Взяла на размер больше ,и утонула в ей .ни я её забрала !!!!т.к очень ждала Упаковка",neutral
"Продавца рекомендую 👌 Пришла на 2 недели раньше назначенного срока. Хорошо упакована,мех упакован отдельно в мешочек. Размер соответствует 50. Лёгкая,прям,воздушная,но теплая. Сезон - евро зима. Пошив аккуратный. Смотрится достойно. Цена - подарок. Спасибо 🌺 -",positive
"Отличная теплая куртка. Рекомендую. Сейчас-2+2 ветер. А мне комфортно. Цена в 1300₽ Мех, конечно оставляет желать лучшего, поэтому был сразу же поменян на хороший и красивый.",positive
"Мой размер М, курс ку брала 2xl, в итоге кака раз, есть нюансы с нитками, но не критично, за такую цену)",positive
"Куртка хорошая, выглядит недёшево. Но надо учесть, что она 'дутик"", поэтому полнит, во всяком случае, меня. Но это зимння одежда. Мне впритык - размер 2 икс эль, мои параметры рост 160,об- 114,от- 86,ог -105, пятая точка не совсем прикрыта. Вместе с тем, это подарок,да ещё и за такую цену.",positive
"Доставка месяц, но я считаю, что за такие деньги куртка на 2-3 сезона это норма Реальность оказалась лучше, чем я ожидала. За такую цену нормальная куртка, на свой 48 размер взяла 2xl, сидит свободно. Отпарила, привела в порядок и нормальная куртка Без мехового воротника, сам ворот выглядит непонятно и несуразно, какой то он широкий, вся шея открыта, без меха меня спасает капор во внутрь, так и горло закрыто и какая то законченность есть",positive
"Петельки, на декоративных пуговиц ах, оторвались сразу, после первого застегивания Вообщем, не плохая Видимо очень торопились отшить, везде нитки торчат,",neutral
"Но в целом я довольна. Не ожидала, что за такую цену можно купить приличную куртку. Посмотрим, не замерзну ли я. Шла долга, задерживалась.",positive
"Качество товара крайне низкое. Материал не соответствует заявленным характеристикам продавца. Это не пуховик на зиму, а тоненькая курточка. Внутри тонкий синтепон. Однозначно отказ.",negative
"Куртка совершенно не соответствует размеру-заказывала 52размер( 2XL),оказался размер 48 по факту.И никакая не зима,от силы на -5 пойдет. Нитки торчат,сшита очень неаккуратно,про мех на капюшоне лучше вообще не писать! Продавца не рекомендую!!!",negative
"Пуховик не для холода, больше осенний, тонковат, хорошо сидит, но большемерит, на размер 52-54 подошёл М, за такую цену очень даже приличный, хочу заказать и в другом цвете",positive
"Куртка очень понравилась, хорошая , пошита аккуратно, а за такую цену это вообще просто находка, рекомендую, да большемерит, почитала отзывы и рискнула заказать, был в наличии только 50р., а я ношу 52-54 и все подошло, даже свободно, и это хорошо, така как мерила на летнюю одежду, а зимой можно будет и кофту пододеть теплую и тд и тп... Вообще спасибо продавцу и ***👍👍👍",positive
"Не поняла восхищенных отзывов, если честно. Куртка ну просто никакая((( Очень тонкая, ткань дешевая и будет однозначно сразу мокрая, если дождь. Наполнитель странно расположен, все швы пустые. А так сама модель мне понравилась, сидит симпатично. Но вот качество.....Отказ",neutral
"На первый взгляд простенький, а когда доставили влюбилась Качество отличное, капюшон есть, зимой думаю в -15 будет очень комфортно На рукавах резинки Но!, большемерит... Перезаказала",positive
"За такую цену - подарок пенсионеру!!! На мой 54р. заказала 50р. и то свободно, но я довольна, считай бесплатная куртка. Заказала 48р.в черном цвете, надеюсь подойдёт. Спасибо всем!",positive
"Пальто понравилось, село хорошо, как я и хотела. Только без пояса, на фото пальто с поясом, а в остальном пальто супер.",positive
"Заказала два размера М и L. M оказалась как раз. Отличный пуховичок, легкий, удобный, красивый. На работу на склад BW ездить самое то. Спасибо❤️",positive
"Кажется это на 54 ,так лёгкая приятная на ощупь , тоненькая , такая шелковистая на рост 156 ниже колен, рукава , тоже длинны. Цвет , как на фото приятный, наврно в магазин ходить будет нормально",positive
"Вообще не ожидала, что за 1 100 можно купить хорошую вещь👌 На 50 р и рост 174, подошла S, но даже великовато, длина - до середины колена. Выкупила в 2 цветах👍Очень легкое, невесомое! Спасибо продавцу и Вайлдберриз 🙏",positive
"Хорошее пальто.На Русс 48раз,ОГ 97,ОТ 84,,ОБ 104- подошёл размер S.Длина на рост 158 чуть выше колена.Капюшон удобный.Замок застегнула без проблем.Нигде не жмёт,сидит свободно,в самый раз.Ткань,пошив-все понравилось",positive
"Благодарю производителя, рекомендую к покупке!!! Шикарная куртка данного производителя!!! На 46 р. выкупили м/170. Сидит идеально, удобные карманы, для тёплой зимы идеально.",positive
"Купила за 2800 куртку, хорошая стеганная со сьемным капюшоном. На 153 взяла XS, подошло хорошо, но если рост меньше будет, то будет слишком оверсайз. Теплая",positive
"Куртка не понравилась, несуразная , рукава объемные слишком много наполнителя, а сама куртка слишком тонкая , снизу практически нет наполнителя.",neutral
"Это просто ужас, это не куртка , а тряпка. Синтепух распределен настолько неравномерно, что местами отсутствует! Даже мерять не стали.",negative
"Нормальная куртка за этот ценник, куртка идет оверсайз, на бёдра 115 размер L. был хорошо как раз, рост 175 рукава хорошие, попу прикрывает , но дочка захотела больший оверсайз , перезаказали на. XL, в сильные морозы можно теплую толстовку подотеть и будет хорошо.",positive
"Пришла очень тоненькая, думала, что в ней будет холодно, хотела сделать возврат, но в - 20 мне в ней тепло",positive
"Куртка очень, хорошая, этой зимой было в ней очень тепло и хорошо, для такой зимы как в этом году 2026 идеальна. В куртке очень комфортно на улице и не жарко в помещении, так что кто ищет тот всегда найдёт, этот идеальный вариант, спасибо производителю и продавцу.",positive
"Заказала два размера 46 и 48 , но в итоге на 46 взяла 48, куртку, так на мои параметры обхват груди 94,обхват талии 99, обхват бедер 82 рост 154 можно было одеть куртку на свитер, а не только на тонкую кофту. На 46 размер идеальна по фигуре, а на 48 немного свободна, что и лучше, ведь куртка не на один год. Сшита очень хорошо, нитки не где не торчат. У куртки три кармана один с большим кольцом, лентой и буквой, очень идеально смотрится, карманы тёплые. Капюшон с оригинальной отделкой, что подчеркивает выделяемость самой куртки. Как будет носится🤷‍. Сколько курток смотрела такого фасона все как пузырь, а это идеально села. Можно было взять и 46 но так как зима бывает холодной взяла 48 чтоб поддеть кофту. На первом фото размер 46, на втором посвободнее 48. Так что после долгих исканий курток, а ищу я уже с августа, свою модель нашла. Спасибо производителю. Не достатков не обнаружено",positive
"Вместо цвета хаки прислали темно зелёный. Этот цвет мне не идёт Пошив качественный , хорошая длина Подклад капюшона из другого блестящего материала и форма очень своеобразная",neutral
Пальто смотрится очень дёшево. Цвет ужасный и качество ткани тоже. Само по себе тяжёлое. Капюшон просто кошмар с блестящей плащевкой вместо подкладки. Не понравилось совсем,negative
"Покупкой довольна, качество, размер в размер, у меня ближе к 52 , села просто изумительно. Не полнит. Красивая, качество просто бомба, я давно не встречала таких качественных вещей! Производителю просто бравоооо! Благодарю ВБ за быструю доставку- 2 дня, всех с Наступающим Новым Годом! Очень рекомендую к покупке. Продавец упаковал вещь тщательно, спасибо! Их нет",positive
"Ношу одежду 52 размера, это пальто 54 и село впритык, но у меня широкие плечи и большая грудь. Выбрала модель посвободнее. Красивое пальто, село по фигуре, швы аккуратные ровные, отличная фурнитура. Неравномерно набит утеплитель. На плечах и на верху спинки он просто скатился вниз",positive
"С 3-ей попытки куртка подошла мне по размеру, сначала заказывала 48, потом 46. У меня ОБ 100, ОГ90. Меня устривает цвет, пошив, внешний вид. На рост 165 длина до колена. Я взяла куртку на демисезон, думаю меня устроит. В сезон поносив куртку, добавлю отзыв.",positive
"хорошее качество, будет тепло зимой ношу размер М, но эту куртку пришлось взять XS сильно большая, даже если будет надета тёплая кофта",positive
"Супер теплая куртка , пришла в пакете Зарина и ещё в одном пакете , куртка новая , мех хотела поменять , но он оказался крутым , оставила , на высокий рост отличная длина рукава, к покупке рекомендую , и цена хорошая",positive
"Хорошая курточка, тёплая, качественно отшита, но мне не подошёл фасон и размер( читала в отзывах что большемерит) но все равно заказала на M.",positive
"Супер, перезаказала на меньший, мой размер 52-54, брала xL великоватат, надо меньше, мой рост 163, кто выше, тому наверное подойдёт",positive
"Хорошая куртка на зиму, Zarina -бренд, который не подводит уже много лет, спасибо. Большемерит, на 50 размер -48р свободно сел.",positive
"Заказывала в бежевом и черном цвете, черное пальто забрала дочь, хотя поначалу ей не понравилось, а когда примерила.. заказала себе черное пальто второй раз 😅👍🏻",positive
"Долго думала брать или не брать данную вещь, даже заказала, но не подошел размер. Все же решила заказать подходящий размер, по температурному режиму мне нужна была теплая куртка. Так вот когда пришла эта парка, я успела поносить ее и в -20 и в 0 градусов. Когда температура ниже -15 начитают мерзнуть плечи и спина , на термобелье и флисовую или шерстяную кофты. Если температура от -10 и выше то я просто как бане в этой парке, с меня течет пот, она похожа по материалу на пакет , абсолютно не дышит. Сразу начинает вонять. Выкинула бирку по случайности. Написала с просьбой решить вопрос продавцу в течении 14 дней. Но продавец так и не ответил. С удовольствием не буду носить этот пакет, может кому пригодиться во вторые руки. Мне не понравилось качество , она явно не стоит ни 10 ни 3,5 тысяч. Визуально при покупке выглядела хорошо Качество материала. Не дышит, в ней как в пакете",negative
"Дочь отходила зиму с удовольствием. Смотрится красиво, недешево, ткань приятная, модель очень удобная, хороший капюшон. Красивая, качественная, удобная Все хорошо",positive
"Здравствуйте, сделала возврат 11 марта, а заказ завис на пвз. Ни возврата и денег нет, ни ответа в чате Вб, написала и вам в магазин и тоже тишина. Верните деньги.",negative
"Шикарный пуховик, но мне оказался велик. Мой размер 50/52 , а заказала я изделие размер которого 50. Хотела сразу перезаказать, но цена подскочила... Дождусь скидку и обязательно куплю 👍👍👍❤️❤️❤️",positive
"Замечательная куртка. Пошив и ткань на высоте. Очень аккуратные и ровные швы. Модель очень понравилась. Но сильно большемерит, это нужно учитывать при покупке. При моем 60 р, я в 60 утонула. Перезаказала на 56 и то думаю, может 54 стоит померить.",positive
"Лёгкая куртка, тёплая. Мех очень похож на натуральный, на ощупь шелковистый. Фасон интересный. Длина хорошая, до середины бедра. Я очень довольна покупкой.",positive
"До -15 Ткань. Фасон На правом рукове манжета ниже локтя не опускается, т.к. пришита изнутри ко шву и тянет. Это первое. Утеплитель в рукавах и низ хорошо набит, А вот спина и шея продувает",neutral
"Дописываю: с толстовкой норм. После получения простирала, от запаха -- никаких изменений не произошло, встряхнула,когда высох, и поехала в нем в отпуск!! В мороз - 30 проходила комфортно!",positive
"На этикетке указан рост 164, на сайте данную информацию продавец не указал. Мой рост 174, поэтому рукова короткие, манжет не отвернешь, смотрится куцо.",positive
Легкий но теплый пуховик. Карманы изнутри на магнитных застежках. Хорошо закрывает от ветра манишка. Глубокий капюшон. Он аномальная модель и для делового стиля и на более свободный прекрасно смотрится. Сложно поймать нужный размер. Цена.,positive
"Если к кнопкам относиться бережнее, т.е. при открывании их не дёргать. Все будет хорошо. Пуховик хороший, легкий , конфортно носить . Уневерсальный подходит для , любого оброза . Качество материала , не сказать , что плотный , но это лучше , чем дают другие бренды. Выдерживает -10, не продувает . Вопрос к производителю! Цена недешёвая. Можно кнопки поставить качественнее? Это вам, будет плюсом .",positive
"Рекомендую к покупке Отличная зимняя куртка! На работу в метро или машине очень удобно. Тёплая, есть манишка с капюшоном. Можно другой капюшон одеть, тоже хорошо будет.",positive
"Хороший фасон Заказала уже 2 куртки в 48 размере. У первой куртки неправильно был вшит левый рукав, сзади торчала ткань как горб. У второй куртки на уровне груди сильно тянет ткань, неправильно вставленна кнопка. Очень жаль, но цена не маленькая. Пришлось отказаться. О недостатках сообщила сотруднику ПВЗ, зафиксировали.",positive
"Пуховик 🔥, качество отличное, в размер, очень тёплый, сегодня в минус 20 с ветром показал себя на отлично. Спасибо продавцу и *** Рекомендую однозначно.",positive
"ну наконец то я нашла свой идеальный пуховик!!! Это просто бомба пушка! Удобный, стильный, теплый! Цена не низкая, но пуховик соответствует.",positive
"Как долго я тебя искала :))) Универсальный вариант, и с каблуками и с ботинками смотрится гармонично. При росте 160 длина выше клен сантиметров на 7. Теплая, при минус 10 с хорошим ветром вообще не продувает! В более низкой температуре не тестировала. Легкая, не сковывает движения. Для меня немного ""пышная"", но думаю немного ""осядет"" при регулярной носке. Теплый",positive
"Как только его одела, понравилось в этом пуховике всё. После трех дней использования, оторвалась одна кнопка, вторая на подходе. Сегодня понесу в ремонт. Очень расстроилась, что за такие деньги некачественно сделана фурнитура, ну или не совсем продуманна. В остальном все прекрасно, теплый, удобный пуховик. Все равно рекомендую к покупке.",positive
"Я ходила по магазинам, искала себе хороший пуховик. Но такого нигде не встречала. Как увидела на валдбериз я сразу решила заказать. Это мой стиль, классика. Померила, очень понравился. Качественный, стильный, легкий, удобный, практичный. Я довольна этим пуховиком.",positive
"Единственно, что мне не понравился - это капюшон, об'емный. Но это на любителя. А так пуховик хорошо набит, пока мерила на пункте выдачи употела. Для зимы самое то, рекомендую.",positive
"Очень понравилась куртка, легкая, теплая, ничего лишнего, если бы был на размер меньше, села бы прекрасно. Но 2xl на мой 52-й сильно свободен оказался. Отказалась в пользу другого.",positive
"Пуховик очень даже не плохой, все швы аккуратные, нитки не торчат. Удобный и наверное тёплый. Но есть технологические недоработки. 1. Когда надеваешь пуховик, вместе с руками из рукавов вылезает подкладка. 2.У капюшона нет кулиски, это очень неудобно, т. к. без неё этот элемент становится бесполезным, при любом ветре он будет слетать с головы. Поэтому возврат, купила другой пуховик.",positive
"Все понравилось. Швы ровные, ткань хорошая. Немного смущает пустота в швах. Посмотрим, как будет зимой. Спасибо за отдельный маленький сюрприз. Приятно.",positive
"Чистая синтетика! Бьется током. Маленький капюшон. Но! Идеальное сохранение тепла. Ни один московский ветер или вьюга не пробили. Можно в лютый мороз надеть футболку, этот пухан и всё - ты в домике.",positive
"Выбирала из пяти разных курток от 4000 до 6500. разных производителей.К сожалению все они были пошиты из одной и той же ткани , как обычная тряпка, только, как они пишут обработана от влаги ,со специальной пропиткой .Выглядят все куртки , как дешовка, тысячи за 2000 . Раньше куртки шили из ткани типо плащевки , а теперь мрак., думаю хорошая куртка стои от 10000 и выше. Решила посмотреть эту куртку, ткань у неё была получше, чем у остальных. Мне понравилась , как она на мне седит , чуть большемерит , но на зиму нормально , будет место под свитер.Так ,как теперь цены на всё безумные , не хочется тратить лишнее, тем более хотела взять куртку, на синтепоне, остальное всё фигня.Био пух фигня, была 2 куртки одна за 15000 , вторая за 11000, выглядили красиво, но очень холодные, только для машины , хотя писали , что на мороз - 20.",positive
"Хороший пуховик, объемный, ткань выглядит качественной, на мой 46 размер сидит свободно, высокий ворот, капюшон хорошо защитит от ветра, буду носить до 27-30 градусов",positive
"Куртка хорошая, но кулиска не затягивает всю талию внешне, она только внутри, жто не устроило, внешне получается не приталенная, как мешок и внизу не прострочена",positive
"На 50 размер мало.На рост 1.64 до середины колена.Тяжелое,может уже и не надо столько утеплителя.Впечатление,что шили его для работы в условиях Крайнего Севера.",positive
"Практичный зимний пуховик с неразъемным капюшоном. Очень тёплый, легкий. Швы ровные. Пластмассовые молнии+ кнопки. Кулиска на поясе внутри регулируется, есть потайной нагрудный карман на молнии! Качество отличное! Товар пришёл быстро и в отличной упаковке: пакет + коробка. Всё аккуратно. Минусов нет.",positive
"Куртка очень хорошая. Я заказывала два размера. Потому что в отзывах писали, что большемерит. Я выписала 48р, и 50р. Подошёл 48р, я его выкупила и поэтому отказ от 50р, отказ. К покупке рекомендую. Продавцу спасибо. Было все хорошо упаковано. Приятно.",positive
"Очень понравился, мягкий , не шуршит. На свой 50р., взяла 48р. Отлично. Нужно брать на размер меньше. Спасибо продавцу. Хорошо упаковано.",positive
"На мой 44 подходит и 42, и 44, но взяла побольше, чтоб свободнее было. Цвет супер. Не очень то, что липучки. Но не критично.",positive
"Мне понравилось все, доставка, упаковка, аккуратно все сложено, попала под небольшое дождь, ткань не промыкает, капельки скатываются, цвет тот который выбрала, размер мой, можно еще спокойно кофту поддеть,",positive
"Взяла бы, не смотря на крой ( я в ней, как бочка), но рукава на высоких. У меня 165 рост. Жалко. Куртка понравилась своей невесомостью. Легкая, воздушная. Цвет. Крой ""мешок""",positive
"Очень хорошее, теплое и комфортное пальто. Мех очень мягкий, когда одеваешь, как будто в плед укутываешься. Не страшны морозы даже в минус сорок.",positive
"Хотелось добавить, что упаковка на ВБ стала просто отвратительная, включая этот товар тоже. Иногда даже в руки брать не хочется. Проявляйте уважение к покупателю. Не хочется снижать оценку за это, если конечно она вам важна!",positive
"Курточка по размеру подошла на мой 44. Ещё место есть для тёплой одежды, примеряла то на летнюю рубашку. Рукава по длине подошли точно, длина курточки очень по моему вкусу. Цвет тоже понравился, соответствует фото. Ткань хорошая, не жёсткая. Объём тела куртка не увеличивает, не делает человека шариком. Рукава в плечах лишний объём не создают. Внутри есть карман под телефон, боковые карманы на кнопках. Капюшон оптимальной глубины: не большой и не маленький. Такой как надо. На момент покупки всё понравилось, хорошо бы после стирки утеплитель остался на местах.",positive
"Куртка класс, заказывала два размера 44 забрала, 46вернула. Продавцу спасибо, за качество и хорошее обращение с товаром, все чистое и хорошо упаковано. Рекомендую товар.",positive
"Брала бегать в холода , относила февраль( самый холод у нас) - 15 выдержала!). При этом легкая и очень нравится цвет. На рост 170 попу прикрывает не полностью. Но и не открыта).",positive
"Ну куртка чисто для зимы ) теплая очень ) качественная ) да и красивая ) конечно надо было брать 44, взяла 46 , идеально села , ну и места есть для кофт ) рост 160 , вес 58. Не короткая и не длинная . Спасибо ) ☺️",positive
"куртка Мне кажется что она не пуховик А на каком-то синтепоне или что-то подобное на начало зимы замечательно в холодное прям время уже когда 20°, наверное не будет холодно я езжу в машине Мне порой холодновато",positive
"Пункт сегодня оказался ниже всяких ожиданий. Обругали, подвинули от камеры, под которой я должна раскрыть товар... Я же не виновата, что стол для рассматривания товара под камерой не вмещает сразу три клиента. Сказали, если я не посторонюсь, то обслуживать будут три часа... Наверное просто надо обслуживать по очереди. Я просто очень удивлена таким неуважительным и прямо унизительным обслуживанием!!!!! Видимо, придется менять пункт. Куртка понравилась! Надеюсь, что будет теплая. Благодарю производителя.",positive
"Сама по себе куртка хорошего качества, теплая Но очень неудобно с этим капюшоном, если бы мех не елозился туда сюда внутри, то было бы нормально. А так пошив и всё остальное вопросов нет",neutral
"Отличный пуховик, проносила зиму, теплый, не потерял вида, мех не скатался. Размер совпадает. Рекомендую к покупке. Товар пришел вовремя, хорошо упакован. Нет.",positive
"Носила уже больше месяца, испробовала в поездке. Очень довольна. Это лучшая куртка. Перепробовала много разных. Заказывала нескольких цветов, но оставила черную. Удобна и с юбками и с брюками. Своих денег стоит. Ооочень теплая. Спасибо продавцу. Советую к покупке. 👍 Очень удобная, теплая, красивая.",positive
"Куртка конечно дороговата, но не пожалела, что взяла. Заказывала на выбор три почти идентичные модели, две другие гораздо дешевле, но по качеству и функционалу несравнимы. Замечательная куртка. Красивая, тёплая (уже проверена при - 35). Утяжки и молнии дают возможность моделировать куртку по желанию.",positive
"Теплый, не продуваемый, стильный, хороший размерный ряд. Прослужил почти всю зиму. Единственный минус, это мех на рукавах затерся, вернее сказать свалялся))",positive
"Если хотите как аверсайснадо брать на 2 размера больше Очень интересная модель, много разных дополнений. Можно затянуть капюшон, по спинке и и рукава можно сделать 3/4, можно сделать большой загиб. Вообще советую не пожалеете.",positive
"Рекомендую всем! Очень хорошее качество, замечательно смотрится мех, тёплый, хорошая фурнитура. Оказалось велико, не правильно подобрала размер. Надо меньше. Я ношу 56 его и брала",positive
"Дополняю: у всех своё видение, если кто-то понравился то прекрасно, пусть с удовольствием носят, я как покупатель высказала своё мнение и нет смысла Вам как продавцу навязывать своё. Удачи..",negative
